episode,reward_type,total_reward,dirt_collected,epsilon
88,energy_aware,1707.0,89,0.5751
89,energy_aware,1774.0,62,0.5704
90,energy_aware,2045.0,62,0.5656
91,energy_aware,2111.0,77,0.5608
92,energy_aware,2034.0,77,0.556
93,energy_aware,2195.0,70,0.5513
94,energy_aware,2131.0,63,0.5465
95,energy_aware,2325.0,82,0.5417
96,energy_aware,2037.0,74,0.5369
97,energy_aware,2173.0,88,0.5322
98,energy_aware,1663.0,76,0.5274
99,energy_aware,2055.0,74,0.5226
100,energy_aware,1782.0,55,0.5178
101,energy_aware,1890.0,63,0.5131
102,energy_aware,2005.0,72,0.5083
103,energy_aware,1855.0,76,0.5035
104,energy_aware,1975.0,60,0.4987
105,energy_aware,1443.0,72,0.494
106,energy_aware,2205.0,81,0.4892
107,energy_aware,2238.0,87,0.4844
108,energy_aware,2271.0,89,0.4796
109,energy_aware,1505.0,66,0.4749
110,energy_aware,2162.0,71,0.4701
111,energy_aware,1966.0,81,0.4653
112,energy_aware,1843.0,65,0.4606
113,energy_aware,1566.0,60,0.4558
114,energy_aware,2077.0,78,0.451
115,energy_aware,1249.0,40,0.4462
116,energy_aware,-4450.0,29,0.4415
